country,known,cases,deaths,quantile25,quantile75,average,death_est_avg,quantile25_rep,quantile75_rep,average_rep
Australia,4510.115315585652,6322.0,61.0,0.010499599012870951,0.01737064139392044,0.013525153068526136,2.5,190.48346489692574,172.70519446967407,184.8407916223628
Israel,6279.547334503524,11145.0,103.0,0.013514564940423478,0.01988317819802318,0.0164024561824795,2.5,147.98848566836145,150.88131133373162,152.41619743940595
Chile,3533.410121520784,7213.0,80.0,0.018102173114528528,0.02812106554364336,0.022641017387918703,2.5,110.4839726891591,106.68159054442859,110.41906629752448
South_Korea,9541.34632616695,10537.0,217.0,0.019898619420918737,0.025926391696202943,0.022743121628955223,2.5,100.50948549211753,115.71220689531455,109.92334477150864
Norway,4506.730338739312,6415.0,103.0,0.01883181016332901,0.027706161092451588,0.022854706684938386,2.5,106.20327959202665,108.2791654170139,109.38665870726486
Malaysia,2945.592914214974,4683.0,76.0,0.020484979995389688,0.03220844071830646,0.025801257068903106,2.5,97.63250930438382,93.14328583112302,96.89450375707152
Russia,4883.039201961609,15770.0,130.0,0.02239423985619996,0.031510226298134186,0.02662276394336063,2.5,89.3086799481738,95.20718675948191,93.90460003772326
Luxembourg,2200.368044282639,3281.0,66.0,0.023572900556270954,0.03811022076532966,0.0299949820537942,2.5,84.843186574592,78.71904018801213,83.34727440464542
Saudi_Arabia,1961.7257652669023,4462.0,59.0,0.023110971274077654,0.038679731720498295,0.030075559512250563,2.5,86.53898515478203,77.5600002005741,83.12397310452975
Finland,1645.7794035959937,2974.0,56.0,0.026037724744609685,0.043985947602253196,0.034026431414587624,2.5,76.81162696114755,68.20360054824245,73.47229480339257
Japan,2940.2291833396453,7255.0,102.0,0.028518863167370838,0.041959303846640095,0.0346911732520605,2.5,70.1290226143464,71.49784970134165,72.06444076812856
Pakistan,2635.9994477508717,5374.0,93.0,0.028787138086111302,0.04302329526246862,0.03528073576773732,2.5,69.4754717894282,69.72966579380196,70.86020020835677
Austria,9662.83678307566,13937.0,350.0,0.03263913536212098,0.04014336118589624,0.036221247223488316,2.5,61.276133016718326,74.7321577310772,69.02026273625471
Germany,74917.35500910903,123016.0,2799.0,0.03602479392366134,0.03874775108871198,0.037361169513521614,2.5,55.51731966151195,77.42384824171026,66.91439354154076
Czechia,3647.670541248978,5991.0,138.0,0.0320425655247955,0.0445208878623279,0.03783236409085021,2.5,62.41697464743701,67.38410090285959,66.08098806610468
China,81390.3549786131,83209.0,3345.0,0.03975142071882701,0.042485186765042995,0.04109823579070227,2.5,50.312667165950195,70.61284716932005,60.82986171794702
Switzerland,16595.03606399602,25220.0,858.0,0.04841016302223232,0.05518941486528631,0.051702207617462505,2.5,41.31363902000293,54.358249807916984,48.35383468530309
Serbia,1534.4721250300922,3630.0,80.0,0.041957096903686944,0.06445136325853677,0.0521351927448217,2.5,47.66774032509984,46.54672683905784,47.95225390719038
Turkey,21991.94642376615,56956.0,1198.0,0.05153789608941172,0.05756312930836042,0.05447448701972788,2.5,38.8063959097254,52.11669407215988,45.893043455271595
Panama,1590.399648916164,3400.0,87.0,0.044238697527414515,0.06720333439630939,0.054703231391738126,2.5,45.20928760980382,44.64064211916174,45.70113933667138
Portugal,8733.657704942792,16585.0,504.0,0.05294409886883489,0.0627934943992242,0.05770778029401844,2.5,37.775692527222965,47.77564982969103,43.32171480626385
Canada,11871.811484196387,24365.0,717.0,0.056218366574468395,0.06485293074869393,0.06039516386816467,2.5,35.5755622559888,46.258510839318035,41.394042831926036
Slovenia,817.1815199467491,1205.0,53.0,0.049371881480370694,0.08427455757305688,0.06485707117245346,2.5,40.50888765086178,35.597932358165465,38.54629811069571
Greece,1380.707711838743,2114.0,98.0,0.05822099946752446,0.08578094417265283,0.07097809272716346,2.5,34.351866479303496,34.97280228067724,35.22213550609039
Poland,3223.8663873754153,6674.0,232.0,0.06340717227542285,0.08140859209491161,0.07196328014973155,2.5,31.542173041758822,36.85114706937074,34.73993951913163
Denmark,3558.0861406726585,6174.0,273.0,0.06837021066496969,0.08596861308716452,0.0767266415726487,2.5,29.252506033665394,34.89645688430808,32.58320641641629
Argentina,1190.5985036828708,2208.0,95.0,0.06542733044631213,0.09654190150905309,0.0797918019434235,2.5,30.568265377129286,31.074589925273834,31.331539570601862
Ireland,4171.889487692578,9655.0,334.0,0.07213410528120479,0.08867995069605476,0.0800596470700693,2.5,27.726135816106375,33.82951813180773,31.226717722249834
Ukraine,993.0787809515973,2777.0,83.0,0.06768744934453845,0.10259209345165649,0.08357846486304638,2.5,29.5475752058513,29.242019526715886,29.912011474445702
Peru,2276.3428313405007,7519.0,193.0,0.07398026028818212,0.09704515310957273,0.0847851199488899,2.5,27.03423848752648,30.913444967341434,29.4863061054469
Colombia,1254.6413980668196,2776.0,109.0,0.07166932873715842,0.1031654801052373,0.08687741387136572,2.5,27.905940173304,29.079494390369266,28.776178854743574
India,3273.05391875764,9152.0,308.0,0.08444002672946614,0.1046084900597555,0.09410171895882125,2.5,23.685449631697963,28.67836060234031,26.566996093812016
Iran,46965.846464940354,71686.0,4474.0,0.092630313748368,0.09795348135434477,0.09526071255502244,2.5,21.591203992172993,30.626782820996016,26.24376758210793
Iraq,771.3837780883049,1352.0,76.0,0.0789323215597755,0.12176715142160896,0.09852423937193534,2.5,25.338162624361665,24.637186342749708,25.37446638448371
Romania,2996.971402313522,6300.0,306.0,0.09175043494789406,0.11361087503978547,0.10210307638030255,2.5,21.798261786288194,26.40592283924781,24.485060476417665
United_States_of_America,265289.6248098143,557571.0,22108.0,0.082289060264579,0.0843943095540773,0.08333533592144506,2.0,24.304567260453844,35.54742038712565,23.99942326848329
Ecuador,3118.145537192296,7466.0,333.0,0.09633738002601308,0.11814881258686942,0.10679424549883153,2.5,20.760373589773344,25.39170673250937,23.409501029972194
world,1006123.3874039397,1806612.0,113506.0,0.11219840037389474,0.11343483003959993,0.11281518889335733,2.5,17.82556608057793,26.446903468297208,22.160136631630483
Philippines,2503.7084325815495,4648.0,297.0,0.1064245836789912,0.13199675917352402,0.11862403630352684,2.5,18.792650446560412,22.727830734512015,21.074986806242
Dominican_Republic,1372.180194692948,2967.0,173.0,0.10923789284037114,0.14495952257993114,0.1260767358901519,2.5,18.30866513438328,20.695432398004694,19.829193564926992
Morocco,787.6474510894652,1661.0,118.0,0.12628007632877397,0.1765028054970087,0.14981321889226418,2.5,15.837811142851544,16.99689697029118,16.687445997658163
Italy,106152.4396477423,156363.0,19901.0,0.18513461961828365,0.18983545091997575,0.18747567240131033,3.1,10.802949789313649,15.803159975976437,16.535478765288232
Mexico,1851.060828821488,4661.0,296.0,0.14364491906821913,0.17741875155005238,0.1599083052221757,2.5,13.923221322225604,16.909148406185558,15.633959702884189
Sweden,5594.318922729257,10483.0,899.0,0.15121449844991,0.17061174897542744,0.16069873963521047,2.5,13.226244973212689,17.583783168602757,15.55706040803464
Hungary,663.3558276208346,1458.0,109.0,0.13633157753269964,0.1929267181136431,0.16431603592137725,2.5,14.670115582872151,15.549945747964552,15.21458320231272
Spain,101538.8620982134,166019.0,16972.0,0.16486345049328555,0.16945780466794463,0.1671478254659171,2.5,12.131251614689786,17.70352215926879,14.956820365633602
Egypt,929.0901622615052,2065.0,159.0,0.14788860476170834,0.19688577669646473,0.17113516691746788,2.5,13.523692398224888,15.237261169073916,14.60833588461486
Netherlands,14148.964965884348,25587.0,2737.0,0.18701663484242542,0.2000575277799179,0.19344171157391302,2.5,10.694235845304027,14.995686657191337,12.923789702123079
Indonesia,1922.1586756640068,4241.0,373.0,0.17684904455334696,0.2124932255371157,0.19405265794258517,2.5,11.309080040840678,14.118097141294498,12.883101043324443
Belgium,15384.13396473168,29647.0,3600.0,0.22737407612929786,0.2407648780395244,0.2340073226255729,2.5,8.796077521443939,12.460289160230067,10.683426364397
France,56326.99100875927,95403.0,14393.0,0.2519428013750964,0.2591508699177445,0.255525809957819,2.5,7.938309763502108,11.576268298664063,9.783747482936024
United_Kingdom,37114.51185729245,84279.0,10612.0,0.28134768439028524,0.2905491468815143,0.28592589445346295,2.5,7.108642121346206,10.325275541846274,8.743524278480129
Brazil,9323.130305598948,22169.0,1223.0,0.1244657533482906,0.1381954089745809,0.13117911687510522,1.1,16.0686770954853,21.70839119953549,8.38548105981917
Algeria,967.9410532971373,1914.0,293.0,0.27448845132665134,0.33293590873937173,0.3027043837038858,2.5,7.286281045099149,9.010743272959644,8.258882707313457
